experiment_id,run_id,scenario_id,ground_truth,classification,triggered,detection_status,total_events,stages_observed,detection_latency_ms,execution_status,timestamp_start,timestamp_end,rule_id,rule_version,correlated_sequence_id
exp-28412ae5-f66e-4bdf-a3ae-06fb2fddd8e7,eval-c2-001-run-15758866-296a-46b8-a1e6-ca0f229b77bb,scenario_b_synthetic_c2,synthetic_c2,TP,True,triggered,4,endpoint;rpc;blockchain;network,0.06120000034570694,SUCCESS,2026-09-18T15:09:52.684677Z,2026-09-18T15:09:52.725157Z,RULE-CHAINC2-001,1.0.0,9be1a121-a14b-4016-aad8-b6b3ac659e36
exp-c0985880-034d-4ebb-806f-e03bf192cd77,eval-c2-002-run-fef3d8c0-ea9a-4674-bb72-8338f40bea37,scenario_b_synthetic_c2,synthetic_c2,TP,True,triggered,4,endpoint;rpc;blockchain;network,0.07560000085504726,SUCCESS,2026-09-18T15:09:52.725194Z,2026-09-18T15:09:52.737208Z,RULE-CHAINC2-001,1.0.0,29946ebd-57b3-4937-a6a2-bb267c986af6
exp-683826a3-94f4-4b27-9e30-6512170e98e9,eval-c2-003-run-d2683f1b-df6d-4714-a953-ed4098195a8e,scenario_b_synthetic_c2,synthetic_c2,TP,True,triggered,4,endpoint;rpc;blockchain;network,0.0594000011915341,SUCCESS,2026-09-18T15:09:52.737240Z,2026-09-18T15:09:52.752017Z,RULE-CHAINC2-001,1.0.0,673680fe-11e5-42d3-ae9c-ca36efa25d0c
exp-1a7cb4b9-cb42-4a24-9f2b-8a3d692f412f,eval-c2-004-run-3ee07283-84d5-4a14-b393-354e617f6876,scenario_b_synthetic_c2,synthetic_c2,TP,True,triggered,4,endpoint;rpc;blockchain;network,0.07959999493323267,SUCCESS,2026-09-18T15:09:52.752054Z,2026-09-18T15:09:52.767973Z,RULE-CHAINC2-001,1.0.0,ed99cb71-fcb6-45f2-a37d-d9385166dcd5
exp-ff1eb89b-380d-4ecb-a440-2933e0f0068a,eval-c2-005-run-7afcc616-836b-4cb2-b283-d5454202dc18,scenario_b_synthetic_c2,synthetic_c2,TP,True,triggered,4,endpoint;rpc;blockchain;network,0.05059999966761097,SUCCESS,2026-09-18T15:09:52.768019Z,2026-09-18T15:09:52.779998Z,RULE-CHAINC2-001,1.0.0,e13441a5-738b-4bc2-b764-5b331a6f0831
exp-adc14c65-1070-4824-8a7c-c4c6c1896337,eval-c2-006-run-d4e25627-ff57-4198-acaa-985bff7b3fdf,scenario_b_synthetic_c2,synthetic_c2,TP,True,triggered,4,endpoint;rpc;blockchain;network,0.052600000344682485,SUCCESS,2026-09-18T15:09:52.780039Z,2026-09-18T15:09:52.792035Z,RULE-CHAINC2-001,1.0.0,4b7a822f-5315-4b6b-8f3f-3fd56e0df691
exp-bed89760-ffcd-4cbe-bc32-0c606aaf68f3,eval-c2-007-run-5f223a1e-cf16-49a9-a21d-308d69423dda,scenario_b_synthetic_c2,synthetic_c2,TP,True,triggered,4,endpoint;rpc;blockchain;network,0.049299997044727206,SUCCESS,2026-09-18T15:09:52.792070Z,2026-09-18T15:09:52.793523Z,RULE-CHAINC2-001,1.0.0,34fd8cea-d6b1-4f90-9c4c-6d0d981a5a96
exp-2dc615b3-60cb-49cd-942e-25a5fccae870,eval-c2-008-run-03135bdb-6cd5-4a65-934f-639116a3d8c4,scenario_b_synthetic_c2,synthetic_c2,TP,True,triggered,4,endpoint;rpc;blockchain;network,0.09180000051856041,SUCCESS,2026-09-18T15:09:52.793553Z,2026-09-18T15:09:52.810203Z,RULE-CHAINC2-001,1.0.0,78c54782-44fb-4b1e-ab88-3aa8f134bf1a
exp-2bce45b0-6ea1-40d0-a055-057609df09af,eval-c2-009-run-09c7f848-9e61-42ed-8d0c-58b8f818b8f8,scenario_b_synthetic_c2,synthetic_c2,TP,True,triggered,4,endpoint;rpc;blockchain;network,0.05420000525191426,SUCCESS,2026-09-18T15:09:52.810246Z,2026-09-18T15:09:52.822621Z,RULE-CHAINC2-001,1.0.0,092aba83-f109-42df-9712-edac71da201d
exp-77af2685-bb7c-449f-845a-61ac0f322b02,eval-c2-010-run-9511af49-5b29-499a-90c0-3b0a645bb0b7,scenario_b_synthetic_c2,synthetic_c2,TP,True,triggered,4,endpoint;rpc;blockchain;network,0.05999999848427251,SUCCESS,2026-09-18T15:09:52.822656Z,2026-09-18T15:09:52.834882Z,RULE-CHAINC2-001,1.0.0,8a1a3b1a-5965-4979-ae35-370c69fa37d8
